Name,Year,Duration,Genre,Rating,Votes,Director,Actor 1,Actor 2,Actor 3,Duration_missing
99,2009,135.0,"Comedy, Crime, Drama",7.3,2767.0,Krishna D.K.,Raj Nidimoru,Kunal Khemu,Boman Irani,False
99 Songs,2019,128.0,"Musical, Romance",7.4,1901.0,Vishwesh Krishnamoorthy,Ehan Bhat,Edilsy Vargas,Tenzing Dalha,False
99.9 FM,2005,90.0,"Crime, Drama",4.8,38.0,Sanjay Bhatia,Shawar Ali,Rajkumar Kanojia,Jai Nagra,False
A Ballad of Maladies,2016,86.0,"Documentary, Music",,,Sarvnik Kaur,Tushar Madhav,,,False
A Ballad of Maladies,2016,86.0,"Documentary, History, Music",,,Sarvnik Kaur,Tushar Madhav,,,False
A Billion Colour Story,2016,105.0,Drama,8.1,412.0,Padmakumar Narasimhamurthy,Dhruva Padmakumar,Gaurav Sharma,Vasuki,False
A Biopic from the Film Industry,2019,,Drama,,,Sarkar Sahith,Suman Rana,Hari Vishnu,,True
A Call from the Past,2016,76.0,"Drama, Fantasy, Mystery",,,Ajay Jain,Vidhu Rashmi Jain,Ashok Banthia,Bharat Ratna Bhargava,False
A Cold Plan,2021,,Thriller,,,Sanjay Raj,Ansh Chaturvedi,Jigyasa Tiwari,Anurag Bhardwaj,True
A Daughter's Dream,2014,,"Drama, Family, Sport",,,Manto Pashupatinath,Bhavana Singh Chauhan,Akhilendra Mishra,Abhilash Narain,True
A Daughter's Tale PANKH,2017,145.0,Drama,6.3,10.0,Premraaj,Rajinder Verma,Sunil Lahri,Nishigandha Wad,False
A Death in the Gunj,2016,110.0,"Drama, Thriller",7.5,4637.0,Konkona Sen Sharma,Kalki Koechlin,Vikrant Massey,Gulshan Devaiah,False
A Dream Document,2016,70.0,Documentary,,,Rupak Das,,,,False
A Far Afternoon: a Painted Saga by Krishen Khanna,2015,72.0,"Documentary, Biography",7.7,10.0,Sruti Harihara Subramanian,,,,False
A Film by Aravind,2005,150.0,"Horror, Mystery",6.8,179.0,Sekhar Suri,Sherlyn Chopra,Rajeev Kanakala,Richard Rishi,False
A Flat,2010,103.0,"Drama, Horror, Romance",4.5,202.0,Hemant Madhukar,Jimmy Sheirgill,Sanjay Suri,Hazel Croney,False
A Flying Jatt,2016,151.0,"Action, Adventure, Comedy",3.0,4145.0,Remo D'Souza,Tiger Shroff,Jacqueline Fernandez,Nathan Jones,False
A Game Called Relationship,2020,109.0,"Comedy, Romance",6.3,181.0,Vivek Sharma,Mandy Takhar,Vivek Sharma,Sumit Suri,False
A Gentleman,2017,145.0,"Action, Comedy",6.2,5227.0,Krishna D.K.,Raj Nidimoru,Sidharth Malhotra,Jacqueline Fernandez,False
A Gift of Love: Sifar,2019,95.0,"Drama, Romance",8.0,33.0,Dhruv Sachdev,Sanjay Deyali,Sudha Chandran,Anang Desai,False
A Handful of Grain,1959,92.0,Drama,,,Mehboob Khan,,,,False
A Journey of Samyak Buddha,2013,127.0,Drama,7.3,17.0,Praveen Damle,Geeta Agrawal,Jyoti Bagat,Gautam Dhengare,False
A Mermaid Called Aida,1996,52.0,Documentary,6.4,7.0,Riyad Vinci Wadia,Aida Banaji,Ajay Mehta,,False
A Mistake (Ek Galti),2021,,Thriller,,,Chand Mehta,Hrishitaa Bhatt,Gulshan Pandey,Jimmy Shergil,True
A New Love Ishtory,2013,140.0,Romance,6.0,80.0,John Mathew Matthan,Raqesh Bapat,Gurpreet Kaur Chadha,Smita Jaykar,False
A Night in Calcutta,1970,,Drama,,,Amrit Mahendra,Master Bhagwan,Simi Garewal,Jagdev,True
A Rape Song,2019,75.0,"Crime, Drama",,,Jacob Paul,Uday Bhan Mourya,Anjali Ujawane,,False
A Rifle and a Bag,2020,89.0,Documentary,6.8,15.0,Cristina Hanes,Isabella Rinaldi,Arya Rothe,,False
A Scandall,2016,112.0,Thriller,3.1,142.0,Ishaan Trivedi,Johnny Baweja,Reeth Mazumder-Roberts,Manav Kaul,False
A Separate Sky,2021,,Drama,,,Raajhorshee De,Sayan Chakraborty,Sudiptaa Chakraborty,Ranita Das,True
A Sketch Killer: Who's Next,1997,,Thriller,,,Vinod Alva,Kalyan Kumar,Raghuvaran,,True
A Small Family,1976,,Documentary,,,Fali Bilimoria,,,,True
A Story of a Call Girl,2000,,Thriller,,,Teerat Singh,Pinky Chinoy,Ali Khan,Anjali Kolhapuri,True
A Strange Love Story,2011,,Drama,3.8,15.0,Tarique Khan,Sahil Seth,Gunjan Bakshi,Snehal Dabi,True
A Sublime Love Story: Barsaat,2005,143.0,"Drama, Romance",3.8,627.0,Suneel Darshan,Bobby Deol,Bipasha Basu,Priyanka Chopra Jonas,False
A Suitable Girl,2017,90.0,Documentary,6.9,337.0,Sarita Khurana,Smriti Mundhra,Sima Taparia,,False
A Thin Line,2019,104.0,Drama,7.9,24.0,Vierendrra Lalit,Trivikram Mattoo,Rahul Roy,Akansha Shivhare,False
A Thursday,2021,,"Drama, Thriller",,,Behzad Khambata,Dimple Kapadia,Yami Gautam,Neha Dhupia,True
A Treasure in the Snow,2002,,Documentary,6.9,8.0,Goutam Ghose,,,,True
A Twist of Date,2017,110.0,"Comedy, Horror, Mystery",,,Kashmera Shah,Kashmera Shah,,,False
A Wednesday,2008,104.0,"Action, Crime, Drama",8.1,75118.0,Neeraj Pandey,Anupam Kher,Naseeruddin Shah,Jimmy Sheirgill,False
A.R Rahman Encore Tour,2017,,Musical,,,Deepak Gattani,A.R. Rahman,,,True
Aa Ab Laut Chalen,1999,177.0,"Musical, Romance, Drama",5.5,1621.0,Rishi Kapoor,Rajesh Khanna,Akshaye Khanna,Aishwarya Rai Bachchan,False
AA BB KK,2018,121.0,Drama,8.0,249.0,Ramkumar Shedge,Shravani Abhang,Sajid Ali,Tamannaah Bhatia,False
Aa Bhi Ja O Piya,2021,140.0,"Family, Romance",,,Rajesh Harivansh Mishra,Abhijeet Lahiri,Akanksha Sinha,Mukul Nag,False
