Name,Year,Duration,Genre,Rating,Votes,Director,Actor 1,Actor 2,Actor 3,Duration_missing
Mahatma Basweshwar,1990,120.0,Drama,,,Rakesh Dhopatkar,Subodh Bhave,Ashwini Ekbote,Alka Kubal,False
Mahatma Ka Insaaf,1995,,Action,,,Ravali,Radha Ravi,Revathi,Vijayakanth,True
Mahatma Kabir,1954,,,,,Gajanan Jagirdar,Shantaram Rajaram Vankudre,David Abraham,Gajanan Jagirdar,True
Mahatma Vidur,1943,155.0,Drama,,,Parshwanath Yeshwant Altekar,Baburao Painter,Vishnupant Pagnis,Durga Khote,False
Mahavat,1962,,,,,M.A. Thirumugham,Saroja Devi B.,Aachi Manorama,,True
Mahaveera,1988,,Action,4.9,27.0,Naresh Saigal,Krishna A.R.,Salma Agha,Raj Babbar,True
Mahayoddha Rama,2016,106.0,Animation,7.7,35.0,Rohit Vaid,Kunal Kapoor,Jimmy Sheirgill,Gulshan Grover,False
Maha-Yuddh,1998,88.0,Action,,,K.D. Shorey,Poonam Dasgupta,Gulshan Grover,Grusha Kapoor,False
Mahek,2007,80.0,Family,8.0,29.0,Kranti Kanad�,Shriya Sharma,Madan Deodhar,Anuya Bhagwat,False
Maheman,1942,,,,,Chaturbhuj Doshi,,,,True
Maheruh,2017,,Romance,,,Vithal Sunita Veturkar,Amit Dolawat,Dilip Karad,Drisha More,True
Mahesh Dattani's Hasmukh Saab ki Wasihat,2015,82.0,Drama,6.3,36.0,Mahesh Dattani,Mohan Agashe,Seema Bhargava,Achint Kaur,False
Mahfil,1981,,"Action, Drama, Romance",,,Amar Kumar,Ashok Kumar,Sadhana,Anil Dhawan,True
Mahima Kaali Maa Ki,2002,,Fantasy,,,Shantilal Soni,Navgata Antra,Sandhmitra Sagrika,Anju Sanjeev,True
Mahima Kashi Vishwanath Ki,2003,,Drama,,,Sanjay Khandelwal,Kumaar Aadarsh,Lankesh Bhardwaj,Bhupindder Bhoopii,True
Mahima Shree Ram Ki,1977,,Drama,,,Abhi Bhattacharya,Jayshree Gadkar,Jeevan,,True
Mahishasura Mardini,1959,167.0,,9.0,22.0,Ranga B.S.,K.S. Ashwath,M.N. Lakshmi Devi,Vasudeva Girimaji,False
Mahiya: Call of Love,2005,,Romance,,,Rajkumar R. Pandey,Laxmikant Berde,Gaurav Ghai,Shakti Kapoor,True
Mahua,1969,137.0,"Musical, Romance",6.2,12.0,Bibhuti Mitra,Shiv Kumar,Anjana Mumtaz,Prem Nath,False
Mahwari,2017,134.0,Family,,,Amit Ramesh Rughani,Chetan Daiya,Ravi Omprakash Rao,Nisarg Trivedi,False
Mai,2013,105.0,"Drama, Family",6.7,92.0,Mahesh Kodiyal,Asha Bhosle,Kshitee Jog,Shivani Joshi,False
Mai Baap,1957,144.0,"Comedy, Drama",6.8,14.0,M. Sadiq,Balraj Sahni,Shyama,Raj Mehra,False
Maidaan,2021,,"Drama, History, Sport",,,Amit Ravindernath Sharma,Priyamani,Ajay Devgn,Gajraj Rao,True
Maidan-E-Jung,1995,155.0,"Action, Drama",4.3,530.0,K.C. Bokadia,Dharmendra,Akshay Kumar,Karisma Kapoor,False
Maikhana,1967,,Thriller,,,Kidar Nath Sharma,Bambi,Sailesh Kumar,Madhu Raj,True
Maila,2021,,Drama,,,Aditya Om,,,,True
Maila Aanchal,1981,,Romance,,,Surendra s. Kapoor,Gulshan Arora,Indira Bansal,Abhi Bhattacharya,True
Maila Aanchal,2000,,Action,,,P K Krishnan,,,,True
Main Abla Nahin Hoon,1949,,,,,Shantaram Athavale,,,,True
Main Aisa Hi Hoon,2005,162.0,"Drama, Family, Musical",4.8,1019.0,Harry Baweja,Ajay Devgn,Sushmita Sen,Esha Deol,False
Main Aur Charles,2015,119.0,"Action, Biography, Crime",6.3,1588.0,Prawaal Raman,Adil Hussain,Alexx O'Nell,Anastasia Fullfina,False
Main Aur Mera Bhai,1961,,,,,Dharam Kumar,Ajit,Ameeta,Helen,True
Main Aur Mera Hathi,1981,136.0,"Action, Drama",6.6,34.0,R. Thyagaraajan,Mithun Chakraborty,Poonam Dhillon,Suresh Oberoi,False
Main Aur Meri Tanhai,1980,,Drama,,,Al Waheed,Saeed Jaffrey,Pradeep Kumar,Deepti Naval,True
Main Aur Mr. Riight,2014,130.0,"Comedy, Romance",5.2,347.0,Adeeb Rais,Barun Sobti,Shenaz Treasury,Kavi Shastri,False
Main Aur Tum,1987,,Thriller,6.0,9.0,Brando Bakshi,Sonika Gill,Om Shivpuri,,True
Main Awara Hoon,1983,148.0,"Drama, Family",5.2,38.0,Ashim S. Samanta,Sanjay Dutt,Raj Babbar,Jaya Prada,False
Main Azaad Hoon,1989,160.0,Drama,7.2,699.0,Tinnu Anand,Amitabh Bachchan,Shabana Azmi,B.M. Shah,False
Main Balwaan,1986,130.0,Drama,5.8,43.0,Mukul Anand,Dharmendra,Mithun Chakraborty,Meenakshi Sheshadri,False
Main Bhi Chalna Chahti Hoon,2014,60.0,"Drama, Family",,,Raj Gupta,Kkhushi Khanna,Svetlana Mishra,,False
Main Bhi Maa Hoon,1965,,Drama,,,,,,,True
Main Cabrewali,2005,,Drama,,,Chandni Gupta,Jahid Khan,Mallika,Shah Gayaz Khan,True
Main Chor Hoon,1976,,Action,,,V. Madhusudan Rao,Manjula,Satyanarayan,,True
Main Chup Nahi Rahungi,1985,,Drama,,,Gajendra Chauhan,Jamuna,Kishan Mehta,Sood Upendra,True
Main Chup Rahungi,1962,147.0,"Drama, Family",7.4,48.0,A. Bhimsingh,Sunil Dutt,Meena Kumari,Raj Mehra,False
Main Diwani,2001,,Romance,,,,,,,True
Main Hari,1940,,Drama,,,Gajanan Jagirdar,Naseem Banu,Maya Devi,Navin Yagnik,True
Main Hoon Aflatoon,1987,,Action,4.3,6.0,Ambarish,Juhi Chawla,V. Ravichandran,Vishnuvardhan,True
Main Hoon Akela,2011,129.0,Action,,,A. Venkatesh,Arjun Sarja,Haripriya,Ashish Vidyarthi,False
Main Hoon Aladdin,1965,,,,,Mohammed Hussain,David Abraham,Ajit,Amar,True
Main Hoon Angrakshak,2003,,Action,,,Anita Patel,Sharat Saxena,Vijayshanti,,True
Main Hoon Beauty Queen,2001,,Thriller,,,Rashmi Ranjan,Mehmood Jr.,Anil Nagrath,Amit Pachori,True
Main Hoon Chalbaaz,2003,,Action,5.9,43.0,Meera Jasmine,Pawan Kalyan,Sayaji Shinde,Nataneya Singh,True
Main Hoon Daku Rani,2003,,Action,,,Firoz Irani,Shehzad Khan,Kiran Kumar,,True
Main Hoon Durga,2004,,Drama,,,Kalabhavan Mani,Raghuvaran,Mala Shri,,True
Main Hoon Geeta,1992,,Action,,,Yash Chouhan,Suraj Chaddha,Avtar Gill,Girija Shankar,True
Main Hoon Hero Khiladi,2000,,Action,,,Jagapathi Babu,Neelambari,Prakash Raj,Kota Srinivasa Rao,True
Main Hoon Jadugar,1965,,,,,Jugal Kishore,Chitra,Paidi Jairaj,Ravikant,True
Main Hoon Khalnayak,2020,,Action,,,Jagdish A. Sharma,Hrishitaa Bhatt,Prem Chopra,Kader Khan,True
Main Hoon Khiladiyon Ka Khiladi,2004,,Action,8.8,92.0,K. Muralimohana Rao,Mohan Babu,Chiranjeevi,Pran,True
Main Hoon Kunwari Dulhan,2001,127.0,"Drama, Thriller",,,Jaspal Neelam,Satnam Kaur,Arvinda Jaiswal,Durgesh Nandini,False
Main Hoon Malikka,2004,107.0,Thriller,,,Chandrakanth,Sadhya Rani,,,False
Main Hoon Na,2004,179.0,"Action, Comedy, Drama",7.0,33177.0,Farah Khan,Shah Rukh Khan,Sushmita Sen,Sunil Shetty,False
Main Hoon Qatil Jaadugarni,2001,91.0,Thriller,,,Dilip Gulati,Poonam Dasgupta,Sanjeevani Gupta,Bharat Kapoor,False
Main Hoon Rajinikanth,2015,127.0,Comedy,7.3,35.0,Faisal Saif,Smita Gondkar,Shakti Kapoor,Sameer Khan,False
Main Hoon Rakshak,2001,,Action,,,Ranga Nath,Soundarya,Srikanth,,True
Main Hoon Rangbaaz,2002,,Action,,,Ghazala,Simran,Ashish Vidyarthi,,True
Main Hoon Sherni,1992,,Action,,,Suresh Bohra,Kiran Kumar,Johnny Lever,Raza Murad,True
Main Intaqaam Loonga,1980,,Action,,,R. Krishnamurthy,Helen,Rajinikanth,Sripriya,True
Main Inteqam Loongi,1995,,,,,Arvind Raj,Aishwarya,Mohan Roy,Baby Sharmilee,True
Main Intequam Loonga,1982,,"Action, Drama",5.1,44.0,Rama Rao Tatineni,Dharmendra,Reena Roy,Shreeram Lagoo,True
Main Jyoti Tu Jwala,2001,,Action,,,Sheetal Bedi,Shakti Kapoor,Satnam Kaur,Shehzad Khan,True
Main Khiladi Tu Anari,1994,175.0,"Action, Comedy",6.5,5725.0,Sameer Malkan,Akshay Kumar,Saif Ali Khan,Shilpa Shetty Kundra,False
Main Khilona Nahin,1985,,"Action, Drama",,,Qamar Narvi,Puneet Issar,Kalpana Iyer,Kaajal Kiran,True
Main Khudiram Bose Hun,2020,,Biography,,,Manoj Giri,Kanishk Kumar Jain,Sushant Sahni,Rituparna Sengupta,True
Main Khunkar Yodha,2000,,Action,,,Bhanupriya,Meena,Vishnuvardhan,,True
Main Krishna Hoon,2013,134.0,"Animation, Family, Musical",5.3,185.0,Rajiv S. Ruia,Juhi Chawla,Paresh Ganatra,Namit Shah,False
Main Kya Karun,1945,,,,,Sudhir Sen,Suraiya,Hansa Wadkar,Pahadi Sanyal,True
Main Madhuri Dixit Banna Chahti Hoon!,2003,,"Drama, Comedy",6.0,514.0,Chandan Arora,Antara Mali,Rajpal Yadav,Asif Basra,True
Main Mulayam Singh Yadav,2021,120.0,Biography,4.2,118.0,Suvendu Ghosh,Amyth Sethi,Govind Namdeo,Mukesh Tiwari,False
Main Nashe Men Hoon,1959,,"Drama, Family, Comedy",6.7,59.0,Naresh Saigal,Raj Kapoor,Mala Sinha,Mubarak,True
Main Phir Aaoongi,1998,,Horror,2.6,8.0,K.I. Sheikh,K.K. Goswami,Jay Kalgutkar,Mushtaq Khan,True
Main Phir Aaunga,1991,,Drama,,,Santosh Sivan,Tarun Kumar,Madhu,Prema Menon,True
Main Prem Ki Diwani Hoon,2003,197.0,"Comedy, Drama, Musical",4.0,4401.0,Sooraj R. Barjatya,Hrithik Roshan,Kareena Kapoor,Abhishek Bachchan,False
Main Pyasi Hoon,1990,,Thriller,,,Jayalalitha,Uma Maheshwari,,,True
Main Qatil Hoon,1984,,Thriller,,,S.M. Sagar,Yogeeta Bali,Vijayendra Ghatge,Shakti Kapoor,True
Main Rony Aur Jony,2007,,"Comedy, Romance",5.8,10.0,Nandita Singgha,Priyanshu Chatterjee,Sandali Sinha,Sayali Bhagat,True
Main Shadi Karne Chala,1962,,Comedy,6.5,6.0,Roop K. Shorey,Mumtaz,Feroz Khan,Prem Chopra,True
Main Solah Baras Ki,1998,150.0,"Musical, Romance",4.5,40.0,Dev Anand,Dev Anand,Jas Arora,Shaista Usta,False
Main Suhagan Hoon,1964,,"Drama, Family",5.2,5.0,Kundan Kumar,Mala Sinha,Ajit,Kewal Kumar,True
Main Sunder Hoon,1971,147.0,"Comedy, Drama, Romance",6.5,47.0,R. Krishnan,S. Panju,Mehmood,Biswajit Chatterjee,False
Main Tera Aashiq,1994,,Romance,,,Monica Bedi,Saahil Chadha,,,True
Main Tera Dushman,1989,,"Action, Adventure, Crime",5.1,68.0,Vijay Reddy,Jackie Shroff,Jaya Prada,Sunny Deol,True
Main Tera Hero,2014,128.0,"Action, Comedy, Romance",5.1,8139.0,David Dhawan,Varun Dhawan,Ileana D'Cruz,Nargis Fakhri,False
Main Tere Liye,1988,,"Drama, Romance",6.8,13.0,Vijay Anand,Suneil Anand,Meenakshi Sheshadri,Rajendra Kumar,True
Main Tere Pyaar Mein Pagal,1999,146.0,Comedy,4.7,7.0,K. Raghavendra Rao,Tanikella Bharani,Brahmanandam,J.D. Chakravarthi,False
Main Tulsi Tere Aangan Ki,1978,151.0,"Drama, Family",6.7,127.0,Raj Khosla,Nutan,Asha Parekh,Vijay Anand,False
Main Tumhare Bachche ki Maa Banne Waali Hoon,2017,45.0,Romance,6.8,101.0,Ashish Lal,Sadiya Azgar,Dhanraj Kadam,Ashish Lal,False
Main Tumhari Hoon,1978,,Romance,,,,,,,True
Main Wohi Hoon,1966,,Mystery,5.2,8.0,A. Shamsheer,Feroz Khan,Kumkum,I.S. Johar,True
Main Zaroor Aaunga,2019,100.0,"Horror, Thriller",4.1,47.0,Chandrakant Singh,Arbaaz Khan,Aindrita Ray,Vikas Verma,False
Main Zinda Hoon,1988,120.0,Drama,7.8,51.0,Sudhir Mishra,Suresh Bhagwat,Rajendra Gupta,Ali Haider,False
Main Zulm Ko Mita Doongi,2002,,Action,,,Krishna Katiyar,Brij Gopal,Satnam Kaur,Kiran Kumar,True
"Main, Meri Patni... Aur Woh!",2005,129.0,"Comedy, Drama, Romance",7.2,2185.0,Chandan Arora,Rajpal Yadav,Rituparna Sengupta,Naseeruddin Shah,False
Maine Dil Liya,1994,,Romance,,,,,,,True
Maine Dil Tujhko Diya,2002,154.0,"Action, Romance",3.7,1125.0,Sohail Khan,Sohail Khan,Sameera Reddy,Sanjay Dutt,False
Maine Jeena Seekh Liya,1959,,"Drama, Family",,,Satish Nigam,Ravindra Kapoor,Ameeta,Durga Khote,True
Maine Jeena Seekh Liya,1982,,"Drama, Romance",3.3,6.0,Bhisham Kohli,Mohammad Asif,Rajni Bala,Geeta Behl,True
Maine Pyaar Kyun Kiya,2005,145.0,"Comedy, Drama, Romance",5.5,4840.0,David Dhawan,Salman Khan,Sushmita Sen,Katrina Kaif,False
Maiya,2017,,Family,2.7,13.0,Anil,Amit Dahiya Badshah,Ilaria Borrelli,Alma Freddi,True
Maja To Ab Aayega,2003,,Thriller,,,Hardeep,Gopal Ray,Pooja Singh,,True
Majaal,1987,180.0,Drama,5.1,32.0,K. Bapaiah,Sadashiv Amrapurkar,Vikas Anand,Asrani,False
Majaz: Ae Gham-e-Dil Kya Karun,2017,178.0,Biography,5.4,5.0,Ravindra Singh,Priyanshu Chatterjee,Rashmi Mishra,Neelima Azim,False
Majboor,1948,,"Drama, Romance",,,Nazir Ajmeri,Indurani,Shyam Sohan,Munawwar Sultana,True
Majboor,1989,,Drama,5.2,40.0,Rama Rao Tatineni,Jeetendra,Jaya Prada,Sunny Deol,True
Majboor,1964,,"Drama, Family",6.1,8.0,Narendra Suri,Biswajit Chatterjee,Waheeda Rehman,Lalita Pawar,True
Majboor,1948,,"Drama, Family",,,Arvind Sen,Nalini Jaywant,Kishore Kumar,Sajjan,True
Majboor Ladki,1991,127.0,Thriller,2.8,9.0,Ram Pahwa,Pankaj Dheer,Javed Khan,Alok Nath,False
Majboori,1954,120.0,,,,Ram Daryani,Gulab,Jeevan,M. Kumar,False
Majboori,1986,,Drama,,,Harnam Singh,Baby Sonu,Sunayna,,True
Majhe,2021,,Drama,,,Amarpal Singh Fauzdar,Anindita Ghosh,Somnath Mondal,Priyanka Dasgupta,True
Majhli Didi,1967,136.0,Drama,7.7,85.0,Hrishikesh Mukherjee,Meena Kumari,Dharmendra,Lalita Pawar,False
Majjma,2021,106.0,Drama,8.1,24.0,Prabhat Sachdeva,Amit Bhardwaj,Gagansharmaknl,Nanda Yadav,False
Majma,2001,51.0,Documentary,,,Rahul Roy,,,,False
Majnu,1935,,,,,Roshan Lal Shorey,Mukhtar Begum,Zahoor Shah,Shyama Zutshi,True
Major,2021,,"Action, Biography, Drama",,,Sashi Kiran Tikka,Sobhita Dhulipala,Prakash Raj,Adivi Sesh,True
Major Saab,1998,165.0,"Action, Drama, Romance",5.3,2083.0,Tinnu Anand,Amitabh Bachchan,Ajay Devgn,Sonali Bendre,False
Majunu,2001,172.0,"Action, Drama, Romance",5.2,124.0,Ravichandran,Prashanth,Rinke Khanna,Raghuvaran,False
Makadjaala - A political trap,2015,,,,,Dinesh Kumar Sahu,Amit Auumkaar,Ashmita Kaur Bakshi,Ashok Banthia,True
Make in India,2019,,Drama,7.0,9.0,B.K. Singh,Surinder Yadav,Saumendra Dash,Sushil Dubey,True
Making India Accessible,2019,54.0,Documentary,,,Pankaj Johar,,,,False
Making of the Film - Jab Tak Hai Jaan,2014,,Documentary,,,Santosh Kumar,Shah Rukh Khan,Yash Chopra,Anushka Sharma,True
Makkhee Choos,1956,135.0,"Comedy, Drama, Romance",,,Ramchandra Thakur,Shyama,Mahipal,Jeevan,False
Mala,1941,,Drama,,,Balwant Bhatt,Rose,Paidi Jairaj,Jayant,True
Mala the Mighty,1948,,,,,John Cawas,John Cawas,Leela,Dalpat,True
Malaal,2019,136.0,"Action, Drama, Romance",6.0,850.0,Mangesh Hadawale,Meezaan Jafri,Sharmin Segal,Chinmayee Surve,False
Malamaal Weekly,2006,137.0,Comedy,7.0,6120.0,Priyadarshan,Paresh Rawal,Om Puri,Riteish Deshmukh,False
Malan,1942,,,,,Alaknanda,Rattan Bai,,,True
Malang,2020,135.0,"Action, Crime, Drama",6.5,8972.0,Mohit Suri,Aditya Roy Kapoor,Anil Kapoor,Disha Patani,False
Malati Madhav,1933,,,,,Anand Prasad Kapoor,Sardar Akhtar,Gulab,Iqbal,True
Maldar,1951,,,,,Balraj Sahni,,,,True
Malhar,1951,,"Family, Drama",4.9,10.0,Harish,Arjun,Shammi,Moti Sagar,True
Mali,1944,,,,,Keshavrao Date,Sangit-Kalanidbi,Mahipal,,True
Malik,1958,,"Drama, Family",,,S.M. Yusuf,Talat Mahmood,Suraiya,Jeevan,True
Malik Ek,2010,128.0,"Biography, Drama, History",6.6,23.0,Deepak Balraj Vij,Akanksha,Rana Jung Bahadur,Sudesh Berry,False
Malika,1947,,,,,Ilyas Kashmiri,Shobhna Samarth,,,True
Malika,1956,,,,,Shakila,,,,True
Malka-e-Alam Noorjehan,1954,,,,,Gunjal,Gajanan Jagirdar,Jankidas,Jagdish Kanwal,True
Malkin,1953,,,,,O.P. Dutta,Durga Khote,Nutan,Pran,True
Malkin,2001,,"Drama, Thriller",,,Kishan Shah,Hemant Birje,Satnam Kaur,Ali Khan,True
Mall Road,1962,,Romance,,,Bela Bose,Chandrashekhar,Surya Kumar,Amrit Rana,True
Malli,1998,90.0,Drama,7.6,54.0,Santosh Sivan,Shweta,Sweta,,False
Mallika,2010,,"Horror, Mystery, Thriller",4.6,52.0,Wilson Louis,Anjum Nayar,Sammir Dattani,Mamik Singh,True
Mallika Soloni,1953,,,,,Mohammed Hussain,Helen,Kamran,Krishna Kumari,True
Mama Bhanja,1977,,"Comedy, Drama, Family",6.7,27.0,Naresh Kumar,Shammi Kapoor,Randhir Kapoor,Parveen Babi,True
Mamaji,1942,,"Drama, Family",,,Narottam Vyas,Lalita Pawar,Nandrekar,Jeevan,True
Mamata Ki Chhaon Mein,1989,,"Drama, Family",5.5,17.0,Amit Kumar,Kishore Kumar,Ashok Kumar,Amit Kumar,True
Mamma the spirit,2020,,Horror,,,Sunil Varma,Raj Agrawal,Mo Ansari,Tridev Lohiya,True
Mammo,1994,130.0,Drama,7.7,406.0,Shyam Benegal,Farida Jalal,Surekha Sikri,Amit Phalke,False
Mamta,1936,,"Drama, Family",,,Franz Osten,Devika Rani,,,True
Mamta,1966,150.0,"Drama, Romance",6.8,116.0,Asit Sen,Ashok Kumar,Dharmendra,Suchitra Sen,False
Mamta,1952,,,,,Gunjal,,,,True
Mamta,1965,,,,,Phani Majumdar,,,,True
Mamta,1942,,,,,Pushpa,,,,True
Mamta,1977,,Drama,,,Phani Majumdar,Vidya Sinha,Parikshit Sahni,Bandana Adhikari,True
Mamta Ki Chhaaon Mein,2005,,Drama,,,,,,,True
Mamta Ki Saugandh,1994,,Drama,,,Prasun Banerjee,Jairaj Joshi,Ravi Patwardhan,Sanchita,True
Man Jaiye,1972,,"Drama, Family",,,B.R. Ishara,Rakesh Pandey,Rehana Sultan,Asit Kumar Sen,True
Man Ka Aangan,1979,154.0,Drama,,,I.V. Sasi,Basi Bahadur,Adoor Bhawani,Kanaka Durga,False
Man Ka Meet,1950,,"Drama, Romance",,,Ratilal Hemchand Punatar,Manher Desai,Dulari,Nirupa Roy,True
Man Ka Meet,1969,150.0,"Action, Thriller",5.7,21.0,Adurthi Subba Rao,Som Dutt,Leena Chandavarkar,Om Prakash,False
Man Ki Aankhen,1970,,Drama,6.6,41.0,Raghunath Jhalani,Waheeda Rehman,Dharmendra,Sujit Kumar,True
Man Ki Jeet,1944,,"Drama, Romance",,,W.Z. Ahmed,Neena,Nina,Rajkumari,True
Man Mandir,1971,142.0,"Drama, Family",5.2,32.0,Tapi Chanakya,Waheeda Rehman,Sanjeev Kumar,Sudesh Kumar,False
Man on Mission Fauladi,2004,158.0,Action,4.8,126.0,Mohan Babu,Nataneya Singh,Soundarya,,False
Man On Mission Jaanbaaz,2005,125.0,Action,4.7,137.0,Mohan Babu,Raghu Babu,,,False
Man on Mission Taqatwar,2005,,Action,8.7,84.0,Abbas,Aishwarya,Mohan Babu,Charmy Kaur,True
Man Pasand,1980,,"Comedy, Drama",6.4,99.0,Basu Chatterjee,Dev Anand,Tina Ambani,Girish Karnad,True
Man Pasand Mehbooba,2005,,Thriller,,,,,,,True
Man Tera Tan Mera,1971,129.0,"Drama, Romance",,,B.R. Ishara,Anil Dhawan,Rehana Sultan,Shatrughan Sinha,False
"Man, Woman, #MeToo",2019,47.0,Documentary,,,Ashwin Rai Shetty,Nandita Gupta,Shashank Arora,Richa Chadha,False
MANADA NO MOR,1989,,Drama,,,Mehul Kumar,,,,True
Manasarovar,2004,90.0,Drama,6.9,80.0,Anup Kurian,Atul Kulkarni,Neha Dubey,Zafar Karachiwala,False
Manav Aur Manovigyan,1991,,Thriller,,,,,,,True
Manavata,1972,120.0,"Drama, Romance",7.3,6.0,Tapi Chanakya,Sawroop Butta,Swarup Dutt,Radha Saluja,False
Manchala,1953,,,,,Jayant Desai,Manher Desai,Jeevan,Krishna Kumari,True
Manchala,1999,137.0,Romance,5.2,5.0,Jayprakkash Shaw,Vivek Mushran,Gauri Khopkar,Rakesh Bedi,False
Manchali,1973,131.0,"Comedy, Romance, Musical",6.5,129.0,Raja Nawathe,Sanjeev Kumar,Leena Chandavarkar,Nazima,False
Manchali,1943,,,,,R.C. Talwar,Manorama,,,True
Manchali,1962,,,,,R C Talwar,Suresh Naik,Mallik Shahzada,Mahesh Shastri,True
Manchali Ladkiyan,1999,,Thriller,,,Pratap Chandra,Vennila Sopna,,,True
Manchalti Haseena,1999,,Thriller,,,,,,,True
Mandbuddhi,2021,,Drama,,,Sanjay Sakshii,Gaurav Prateek,Anup Jalota,Deepraj Rana,True
Mandi,1983,167.0,"Comedy, Drama",7.5,744.0,Shyam Benegal,Shabana Azmi,Smita Patil,Naseeruddin Shah,False
Mandi: Ek Prem Katha,2017,,Drama,,,Tarun R. Takshy,Avani Modi,Saanvi Dhiman,Milind Gunaji,True
Mandir,1937,,,,,Abdul Rashid Kardar,Rajkumari,,,True
Mandir,1948,,,,,Dinkar D. Patil,Master Vinayak,Shahu Modak,Shanta Apte,True
Mandir Masjid,1977,,Drama,6.2,5.0,Mohammed Hussain,Yogeeta Bali,Master Bhagwan,Nasir Hussain,True
Mang Le Tu Mang Le,2001,,Thriller,,,Kanti Shah,,,,True
Mangal Dada,1986,,"Action, Drama",,,Ramesh Gupta,Sunil Dutt,Reena Roy,Sarika,True
Mangal Ho,2017,,"Comedy, Sci-Fi",,,Pritish Chakraborty,Mukesh S. Bhatt,Pritish Chakraborty,Vrajesh Hirjee,True
Mangal Pandey,1983,136.0,"Action, Crime, Drama",5.9,29.0,Harmesh Malhotra,Ranjit Sood,Ajit,Harbans Darshan M. Arora,False
Mangal Pandey: The Rising,2005,150.0,"Biography, Drama, History",6.6,9520.0,Ketan Mehta,Aamir Khan,Rani Mukerji,Toby Stephens,False
Mangala vaathiyam,1979,,Drama,,,K. Shankar,Kamal Haasan,Sripriya,Gandhimathi,True
Mangalashtak Once More,2013,122.0,"Drama, Romance",6.2,105.0,Samir Joshi,Mukta Barve,Mangesh Borgaonkar,Hemant Dhome,False
Mangalsutra,1947,,,,,Gunjal,,,,True
Mangalsutra,1981,121.0,"Horror, Thriller",6.5,48.0,Vijay B.,Rekha,Anant Nag,Prema Narayan,False
Mangetar,1972,,,,,Rupa Sain,Nasir Hussain,Durga Khote,Pradeep Kumar,True
Mangla,1951,,,,,S.S. Vasan,Badri Prasad,Agha,David Abraham,True
Mangni,1994,,Drama,,,B.R. Ishara,,,,True
Mangni,1992,,Drama,,,B.R. Ishara,Raja Bundela,Saahil Chadha,Pallavi Joshi,True
Mangu,1954,,Action,,,Nisar Ahmad Ansari,Sheikh Mukhtar,Sheila Ramani,Mukri,True
Mangu Dada,1970,,Action,,,Maruti,Sheikh Mukhtar,Sujit Kumar,Faryal,True
Manikanda,2007,121.0,"Action, Crime, Drama",3.6,38.0,Selva,Annapoorna,Madhan Bob,Vagai Chandrasekar,False
Manikarnika: The Queen of Jhansi,2019,148.0,"Action, Biography, Drama",6.4,10230.0,Radha Krishna Jagarlamudi,Kangana Ranaut,Kangana Ranaut,Danny Denzongpa,False
Manjari,1934,,,,,Moti B. Gidwani,,,,True
Manjhdhar,1947,,,,,Sohrab Modi,Rafiq Ghaznavi,,,True
Manjhi: The Mountain Man,2015,120.0,"Adventure, Biography, Drama",8.0,18207.0,Ketan Mehta,Nawazuddin Siddiqui,Radhika Apte,Ashutosh Acharya,False
Manju Ka Pyar,1992,,Romance,,,,,,,True
Manjunath,2014,130.0,"Biography, Drama",7.2,478.0,Sandeep A. Varma,Anjori Alagh,Karan Ashar,Aarun D. Baliean,False
Manmani,1947,,,,,Sarvottam Badami,Eddie Billimoria,Ragni,,True
Manmatha Leelai,1976,161.0,"Comedy, Drama, Romance",6.7,114.0,K. Balachander,Aalam,Hema Chaudhari,Kamal Haasan,False
Man-Mauji,1962,141.0,"Comedy, Musical",7.1,39.0,R. Krishnan,S. Panju,Kishore Kumar,Sadhana,False
Manmohan,1936,147.0,,,,Mehboob Khan,Bibbo,Surendra,Lala Yaqoob,False
Manmohini,1998,,Romance,,,Anil Pandit,Rakhi Sawant,,,True
Mann Ke Rang,2017,,Drama,,,Rahul Rai Gupta,Raj,Abhishek,Ansh,True
Mannu Dhakad Man,2006,135.0,"Family, Romance, Sci-Fi",,,Dinesh Chaudhary,Kavita Joshi,Uttar Kumar,,False
Mano Na Mano,1955,,Drama,,,B.K. Adarsh,Baldev,Chitra,Uma Dutt,True
Manohara,1954,199.0,,7.3,46.0,L.V. Prasad,Shivaji Ganesan,Girija,Kannamba,False
Manohara,1954,,,,,L.V. Prasad,Kannamba,Pandharibai,,True
Manoj Bhaiya,2008,123.0,Drama,,,Manish Shrivastava,Ayub Khan,Ash Kumar,Smriti Mohan,False
Manokaamnaa,1980,110.0,"Drama, Romance",7.1,15.0,Kedar Kapoor,Urmila Bhatt,Shail Chaturvedi,Kalpana Iyer,False
Manorama,1944,,,,,Jayant Desai,Noor Mohammad Charlie,Leela Chitnis,Ishwarlal,True
Manorama: Six Feet Under,2007,137.0,"Crime, Drama, Mystery",7.6,7563.0,Navdeep Singh,Abhay Deol,Gul Panag,Raima Sen,False
Manoranjan,1974,158.0,"Comedy, Musical, Romance",6.8,214.0,Shammi Kapoor,Shammi Kapoor,Sanjeev Kumar,Zeenat Aman,False
Manoranjan the Entertainment,2003,,Thriller,,,Baby Lona,Shakeela,,,True
Manoranjan: The Entertainment,2006,133.0,"Action, Comedy, Crime",,,Kaaran Choudhary,Sudhanshu Pandey,Aryan Vaid,Aditi Govitrikar,False
Manovancha Phalasiddirastu,2020,,Drama,,,Rajesh Sarma,Indhu Oruganti,Pranay,Shiva Ramakrishna,True
